state,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,4/13/21,weekOne,weekTwo,change
AL,408,478,400,349,194,109,196,338,464,318,354,311,172,1432,304.85714285714283,484.14285714285717,58.80974695407687
AK,0,397,203,0,0,500,80,222,228,251,0,0,398,156,168.57142857142858,179.28571428571428,6.355932203389818
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
AZ,733,381,940,706,464,608,570,750,670,1302,819,540,675,610,628.8571428571429,766.5714285714286,21.89913675601998
AR,212,211,144,217,84,44,163,244,199,178,171,100,69,224,153.57142857142858,169.28571428571428,10.23255813953487
CA,2479,2604,3842,992,690,5988,2184,2448,2538,3643,3306,3491,3599,2559,2682.714285714286,3083.4285714285716,14.936897598381172
CO,1763,1604,1645,1571,1220,867,1266,1914,1885,1936,1454,1235,912,1904,1419.4285714285713,1605.7142857142858,13.123993558776178
CT,568,1844,1488,0,0,2699,1074,1038,1012,1807,0,0,2985,1118,1096.142857142857,1137.142857142857,3.7403883748208
DE,229,386,402,487,299,201,229,236,362,380,419,367,355,210,319,332.7142857142857,4.299149126735336
DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
DC,100,143,151,125,105,75,122,94,170,136,128,68,73,113,117.28571428571429,111.71428571428571,-4.750304506699157
FL,5294,6790,6490,6017,4794,3480,5556,5885,7939,7121,6906,5520,1613,9068,5488.714285714285,6293.142857142857,14.65604747403764
GA,1807,1425,1582,1125,874,643,1474,1528,1490,1441,1570,1092,939,1913,1275.7142857142858,1424.7142857142858,11.67973124300112
GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
GU,2,3,2,4,0,7,2,3,2,3,2,2,5,5,2.857142857142857,3.142857142857143,9.999999999999995
HI,100,113,262,112,96,93,59,76,122,175,113,92,70,63,119.28571428571429,101.57142857142857,-14.850299401197612
ID,460,361,284,0,0,655,346,349,310,312,0,0,538,219,300.85714285714283,246.85714285714286,-17.948717948717942
IL,2596,3522,3234,2836,2442,2097,2947,3774,3727,4007,3639,2939,2451,3184,2810.5714285714284,3388.714285714286,20.570295821896927
IN,1044,1216,1203,1049,945,715,615,1212,1384,1339,1358,1159,1131,952,969.5714285714286,1219.2857142857142,25.75512008251068
IA,646,735,577,493,155,467,728,272,625,619,750,196,178,542,543,454.57142857142856,-16.285188108392532
KS,497,22,467,0,0,355,9,530,22,428,0,0,489,1,192.85714285714286,210,8.888888888888886
KY,803,966,685,579,0,405,330,1019,627,733,500,365,267,796,538.2857142857143,615.2857142857143,14.304670912951167
LA,519,536,0,0,0,1268,218,700,449,734,0,0,989,452,363,474.85714285714283,30.81463990554899
